Actor,Character
Laurence Fishburne,Morpheus
Carrie-Anne Moss,Trinity
Hugo Weaving,Agent Smith
Patrick Stewart,Charles Xavier/Professor X
Hugh Jackman,Logan/Wolverine
Halle Berry,Ororo Munroe/Storm
Famke Janssen,Jean Grey/Phoenix
Andrew Garfield,Spider-Man/Peter Parker
Emma Stone,Gwen Stacy
Jamie Foxx,Electro/Max Dillon
Paul Giamatti,Aleksei Sytsevich
Hugh Jackman,Logan/Wolverine
Liev Schreiber,Victor Creed
Ryan Reynolds,Wade Wilson
Danny Huston,Stryker
Scarlett Johansson,Lucy
Morgan Freeman,Professor Norman
Choi Min-sik,Mr. Jang
Amr Waked,Pierre Del Rio
Bradley Cooper,Phil
Zach Galifianakis,Alan
Ed Helms,Stu
Justin Bartha,Doug
Simon Pegg,Nicholas Angel
Nick Frost,PC Danny Butterman
Martin Freeman,Met Sergeant
Bill Nighy,Met Chief Inspector
Hugh Grant,The Prime Minister
Martine McCutcheon,Natalie
Liam Neeson,Daniel
Laura Linney,Sarah
Johnny Depp,Willy Wonka
Freddie Highmore,Charlie Bucket
David Kelly,Grandpa Joe
Helena Bonham Carter,Mrs. Bucket
Bradley Cooper,Chris Kyle
Sienna Miller,Taya
Kyle Gallner,Goat-Winston
Cole Konis,Young Chris Kyle
Julianne Moore,Julian
Clive Owen,Theo Faron
Chiwetel Ejiofor,Luke
Michael Caine,Jasper
Idris Elba,Stacker Pentecost
Charlie Hunnam,Raleigh Becket
Rinko Kikuchi,Mako Mori
Charlie Day,Dr. Newton Geiszler
Jack Black,Po
Ian McShane,Tai Lung
Angelina Jolie,Tigress
Dustin Hoffman,Shifu
Tom Cruise,Ethan Hunt
Jeremy Renner,Brandt
Simon Pegg,Benji
Paula Patton,Jane
Edward Norton,Bruce Banner
Liv Tyler,Betty Ross
Tim Roth,Emil Blonsky
William Hurt,General 'Thunderbolt' Ross
Denis Leary,Diego
John Leguizamo,Sid
Ray Romano,Manfred
Goran Visnjic,Soto
Ashton Kutcher,Evan
Amy Smart,Kayleigh
Melora Walters,Andrea
Elden Henson,Lenny
Jason Momoa,Arthur
Amber Heard,Mera
Willem Dafoe,Vulko
Patrick Wilson,King Orm
Steve Carell,Frank
Toni Collette,Sheryl
Greg Kinnear,Richard Hoover
Abigail Breslin,Olive
Keanu Reeves,John Wick
Riccardo Scamarcio,Santino D'Antonio
Ian McShane,Winston
Ruby Rose,Ares
Matthew McConaughey,Ron Woodroof
Jennifer Garner,Eve
Jared Leto,Rayon
Steve Zahn,Tucker
Daniel Brühl,Niki Lauda
Chris Hemsworth,James Hunt
Olivia Wilde,Suzy Miller
Alexandra Maria Lara,Marlene Lauda
Dylan O'Brien,Thomas
Kaya Scodelario,Teresa
Will Poulter,Gally
Thomas Brodie-Sangster,Newt
Will Smith,John Hancock
Charlize Theron,Mary
Jason Bateman,Ray
Jae Head,Aaron
Mike Myers,Shrek
Eddie Murphy,Donkey
Cameron Diaz,Princess Fiona
Julie Andrews,Queen
Sam Worthington,Jake
Zoe Saldana,Neytiri
Sigourney Weaver,Kiri
Stephen Lang,Quaritch
Ryan Potter,Hiro
Scott Adsit,Baymax
Jamie Chung,Go Go
T.J. Miller,Fred
Eddie Redmayne,Newt
Katherine Waterston,Tina
Alison Sudol,Queenie
Dan Fogler,Jacob Kowalski
Jennifer Lawrence,Katniss Everdeen
Josh Hutcherson,Peeta Mellark
Liam Hemsworth,Gale Hawthorne
Woody Harrelson,Haymitch Abernathy
Mark Ruffalo,Mike Rezendes
Michael Keaton,Walter 'Robby' Robinson
Rachel McAdams,Sacha Pfeiffer
Liev Schreiber,Marty Baron
Mandy Moore,Rapunzel
Zachary Levi,Flynn Rider
Donna Murphy,Mother Gothel
Ron Perlman,Stabbington Brother
Daisy Ridley,Rey
John Boyega,Finn
Oscar Isaac,Poe Dameron
Adam Driver,Kylo Ren
Tom Hardy,Tommy Conlon
Nick Nolte,Paddy Conlon
Joel Edgerton,Brendan Conlon
Jennifer Morrison,Tess Conlon
Tom Hanks,Viktor Navorski
Catherine Zeta-Jones,Amelia Warren
Chi McBride,Mulroy
Stanley Tucci,Frank Dixon
Daniel Craig,Mikael Blomkvist
Rooney Mara,Lisbeth Salander
Christopher Plummer,Henrik Vanger
Stellan Skarsgård,Martin Vanger
Hugh Jackman,Logan
Will Yun Lee,Harada
Tao Okamoto,Mariko
Rila Fukushima,Yukio
Christian Bale,Irving Rosenfeld
Amy Adams,Sydney Prosser
Bradley Cooper,Richie DiMaso
Jennifer Lawrence,Rosalyn Rosenfeld
Matt Damon,Carroll Shelby
Christian Bale,Ken Miles
Jon Bernthal,Lee Iacocca
Caitríona Balfe,Mollie Miles
Viola Davis,Aibileen Clark
Emma Stone,Skeeter Phelan
Octavia Spencer,Minny Jackson
Bryce Dallas Howard,Hilly Holbrook
Tye Sheridan,Parzival/Wade
Olivia Cooke,Art3mis/Samantha
Ben Mendelsohn,Sorrento
Lena Waithe,Aech/Helen
Bill Murray,Bob Harris
Scarlett Johansson,Charlotte
Giovanni Ribisi,John
Anna Faris,Kelly
Tom Hanks,Captain Richard Phillips
Barkhad Abdi,Muse
Barkhad Abdirahman,Bilal
Catherine Keener,Andrea Phillips
Chris Pine,Kirk
Zachary Quinto,Spock
Zoe Saldana,Uhura
Benedict Cumberbatch,Khan
Benedict Cumberbatch,Doctor Stephen Strange
Elizabeth Olsen,Wanda Maximoff/The Scarlet Witch
Chiwetel Ejiofor,Baron Mordo
Benedict Wong,Wong
Christian Bale,Michael Burry
Steve Carell,Mark Baum
Ryan Gosling,Jared Vennett
Brad Pitt,Ben Rickert
Shailene Woodley,Tris
Theo James,Four
Kate Winslet,Jeanine
Jai Courtney,Eric
Jason Sudeikis,David Clark
Jennifer Aniston,Rose O'Reilly
Emma Roberts,Casey Mathis
Ed Helms,Brad Gurdlinger
Harrison Ford,Indiana Jones
Cate Blanchett,Irina Spalko
Shia LaBeouf,Mutt Williams
Karen Allen,Marion Ravenwood
Kristen Stewart,Bella Swan
Robert Pattinson,Edward Cullen
Billy Burke,Charlie Swan
Sarah Clarke,Renée
Sean Penn,Jimmy Markum
Tim Robbins,Dave Boyle
Kevin Bacon,Sean Devine
Emmy Rossum,Katie Markum
Matt Damon,Jason Bourne
Franka Potente,Marie
Joan Allen,Pamela Landy
Brian Cox,Ward Abbott
Gary Oldman,Dreyfus
Keri Russell,Ellie
Andy Serkis,Caesar
Kodi Smit-McPhee,Alexander
Emily Blunt,Kate Macer
Josh Brolin,Matt Graver
Benicio Del Toro,Alejandro
Jon Bernthal,Ted
Eddie Redmayne,Stephen Hawking
Felicity Jones,Jane Hawking
Tom Prior,Robert Hawking - Age 17
Sophie Perry,Lucy Hawking - Age 14
Dennis Quaid,Jack Hall
Jake Gyllenhaal,Sam Hall
Emmy Rossum,Laura Chapman
Dash Mihok,Jason Evans
Owen Wilson,Lightning McQueen
Bonnie Hunt,Sally Carrera
Paul Newman,Doc Hudson
Larry the Cable Guy,Mater
Robert Downey Jr.,Sherlock Holmes
Jude Law,Dr. John Watson
Jared Harris,Professor James Moriarty
Rachel McAdams,Irene Adler
Anne Hathaway,Andy Sachs
Meryl Streep,Miranda Priestly
Adrian Grenier,Nate
Emily Blunt,Emily
Denzel Washington,Alonzo
Ethan Hawke,Jake
Scott Glenn,Roger
Tom Berenger,Stan Gursky
Ben Affleck,Batman/Bruce Wayne
Gal Gadot,Wonder Woman/Diana Prince
Jason Momoa,Aquaman/Arthur Curry
Ezra Miller,The Flash/Barry Allen
Tom Cruise,Ray Ferrier
Dakota Fanning,Rachel Ferrier
Tim Robbins,Harlan Ogilvy
Miranda Otto,Mary Ann
Leonardo DiCaprio,Amsterdam Vallon
Cameron Diaz,Jenny Everdeane
Daniel Day-Lewis,Bill 'The Butcher' Cutting
Jim Broadbent,Boss Tweed
Cary Elwes,Dr. Lawrence Gordon
Leigh Whannell,Adam
Danny Glover,Detective David Tapp
Ken Leung,Detective Steven Sing
Tom Cruise,Nathan Algren
Ken Watanabe,Katsumoto
Billy Connolly,Zebulon Gant
William Atherton,Winchester Rep
Jeremy Renner,Staff Sergeant William James
Anthony Mackie,Sergeant JT Sanborn
Brian Geraghty,Specialist Owen Eldridge
Guy Pearce,Sergeant Matt Thompson
Daniel Craig,James Bond
Olga Kurylenko,Camille
Mathieu Amalric,Dominic Greene
Judi Dench,M
Steve Carell,Andy
Catherine Keener,Trish
Paul Rudd,David
Romany Malco,Jay
Matt Damon,Max
Jodie Foster,Delacourt
Sharlto Copley,Kruger
Alice Braga,Frey
Brad Pitt,Billy Beane
Robin Wright,Sharon
Jonah Hill,Peter Brand
Philip Seymour Hoffman,Art Howe
Jason Bateman,Nick Hendricks
Charlie Day,Dale Arbus
Jason Sudeikis,Kurt Buckman
Michael Cera,Scott Pilgrim
Mary Elizabeth Winstead,Ramona Flowers
Kieran Culkin,Wallace Wells
Anna Kendrick,Stacey Pilgrim
Daniel Craig,James Bond
Christoph Waltz,Blofeld
Léa Seydoux,Madeleine
Ralph Fiennes,M
James McAvoy,Professor Charles Xavier
Michael Fassbender,Erik Lehnsherr/Magneto
Jennifer Lawrence,Raven/Mystique
Nicholas Hoult,Hank McCoy/Beast
Colin Farrell,Ray
Brendan Gleeson,Ken
Ciarán Hinds,Priest
Elizabeth Berrington,Natalie
John C. Reilly,Ralph
Jack McBrayer,Felix
Jane Lynch,Calhoun
Sarah Silverman,Vanellope
Brad Pitt,Ladybug
Joey King,Prince
Aaron Taylor-Johnson,Tangerine
Brian Tyree Henry,Lemon
Chieko Baishô,Sophie
Takuya Kimura,Howl
Tatsuya Gashûin,Calcifer
Akihiro Miwa,Witch of the Waste
Tom Hanks,Robert Langdon
Audrey Tautou,Sophie Neveu
Jean Reno,Captain Bezu Fache
Ian McKellen,Sir Leigh Teabing
Dwayne Johnson,Spencer
Karen Gillan,Martha
Kevin Hart,Fridge
Jack Black,Bethany
Ewan McGregor,Ed Bloom (young
Albert Finney,Ed Bloom (senior
Billy Crudup,Will Bloom
Jessica Lange,Sandra Bloom (senior
Denzel Washington,Frank Lucas
Russell Crowe,Richie Roberts
Chiwetel Ejiofor,Huey Lucas
Josh Brolin,Detective Trupo
Jennifer Lawrence,Aurora Lane
Chris Pratt,Jim Preston
Michael Sheen,Arthur
Laurence Fishburne,Gus Mancuso
Kristen Connolly,Dana
Chris Hemsworth,Curt
Anna Hutchison,Jules
Fran Kranz,Marty
Paul Rudd,Scott Lang/Ant-Man
Evangeline Lilly,Hope Van Dyne/Wasp
Michael Peña,Luis
Walton Goggins,Sonny Burch
Daniel Craig,Benoit Blanc
Edward Norton,Miles Bron
Kate Hudson,Birdie Jay
Dave Bautista,Duke Cody
Brie Larson,Ma
Jacob Tremblay,Jack
Sean Bridgers,Old Nick
Wendy Crewson,Talk Show Hostess
Cillian Murphy,Jim
Naomie Harris,Selena
Christopher Eccleston,Major Henry West
Alex Palmer,Activist
Ben Stiller,Tugg Speedman - Hot LZ
Jack Black,Jeff Portnoy - Hot LZ
Robert Downey Jr.,Kirk Lazarus - Hot LZ
Jeff Kahn,Snooty Waiter - Fatties Trailer
Justin Timberlake,Will Salas
Amanda Seyfried,Sylvia Weis
Cillian Murphy,Raymond Leon
Olivia Wilde,Rachel Salas
Daniel Craig,James Bond
Ana de Armas,Paloma
Rami Malek,Lyutsifer Safin
Léa Seydoux,Madeleine
Owen Wilson,Gil
Rachel McAdams,Inez
Kathy Bates,Gertrude Stein
Kurt Fuller,John
Roman Griffin Davis,Jojo
Thomasin McKenzie,Elsa
Scarlett Johansson,Rosie
Taika Waititi,Adolf
Sally Hawkins,Elisa Esposito
Octavia Spencer,Zelda Fuller
Michael Shannon,Richard Strickland
Doug Jones,Amphibian Man
Naomi Watts,Ann Darrow
Jack Black,Carl Denham
Adrien Brody,Jack Driscoll
Thomas Kretschmann,Captain Englehorn
Kelly Macdonald,Merida
Billy Connolly,Fergus
Emma Thompson,Elinor
Julie Walters,The Witch
Sacha Baron Cohen,Borat
Ken Davitian,Azamat
Luenell,Luenell
Chester,Bear
Don Cheadle,Graham
Sandra Bullock,Jean
Thandiwe Newton,Christine
Karina Arroyave,Elizabeth
Lindsay Lohan,Cady Heron
Jonathan Bennett,Aaron Samuels
Rachel McAdams,Regina George
Tina Fey,Ms. Norbury
Simu Liu,Shaun/Shang-Chi
Awkwafina,Katy
Tony Leung Chiu-wai,Xu Wenwu
Ben Kingsley,Trevor Slattery
Chris Rock,Marty
Ben Stiller,Alex
David Schwimmer,Melman
Jada Pinkett Smith,Gloria
Aaron Taylor-Johnson,Ford Brody
Elizabeth Olsen,Elle Brody
Bryan Cranston,Joe Brody
Ken Watanabe,Dr. Ishiro Serizawa
Mia Wasikowska,Alice Kingsleigh
Johnny Depp,Mad Hatter
Helena Bonham Carter,Red Queen
Anne Hathaway,White Queen
Henry Cavill,Superman/Clark Kent
Ben Affleck,Batman/Bruce Wayne
Gal Gadot,Wonder Woman/Diana Prince
Amy Adams,Lois Lane
Ryan Reynolds,Guy
Jodie Comer,Millie/Molotovgirl
Taika Waititi,Antwan
Lil Rel Howery,Buddy
Aamir Khan,Rancho
Madhavan,Farhan
Mona Singh,Mona
Sharman Joshi,Raju
Jim Carrey,Bruce Nolan
Jennifer Aniston,Grace Connelly
Morgan Freeman,God
Philip Baker Hall,Jack Baylor
Robert De Niro,Frank Sheeran
Al Pacino,Jimmy Hoffa
Joe Pesci,Russell Bufalino
Harvey Keitel,Angelo Bruno
Tom Cruise,Vincent
Jamie Foxx,Max
Jada Pinkett Smith,Annie
Mark Ruffalo,Fanning
Keanu Reeves,John Wick
Halle Berry,Sofia
Ian McShane,Winston
Laurence Fishburne,Bowery King
Scarlett Johansson,Natasha Romanoff/Black Widow
Florence Pugh,Yelena Belova
David Harbour,Alexei
Rachel Weisz,Melina
James Franco,James Franco
Jonah Hill,Jonah Hill
Seth Rogen,Seth Rogen
Jay Baruchel,Jay Baruchel
Shia LaBeouf,Sam Witwicky
Rosie Huntington-Whiteley,Carly
Tyrese Gibson,Epps
Josh Duhamel,Lennox
Tilda Swinton,White Witch
Georgie Henley,Lucy Pevensie
William Moseley,Peter Pevensie
Skandar Keynes,Edmund Pevensie
Steve Carell,Gru
Kristen Wiig,Lucy
Benjamin Bratt,Eduardo Pérez/El Macho
Miranda Cosgrove,Margo
Shia LaBeouf,Sam Witwicky
Megan Fox,Mikaela Banes
Josh Duhamel,Major Lennox
Tyrese Gibson,USAF Chief Master Sergeant Epps
Denzel Washington,Robert McCall
Marton Csokas,Teddy
Chloë Grace Moretz,Teri
David Harbour,Masters
Josh Hartnett,Eversmann
Ewan McGregor,Grimes
Tom Sizemore,McKnight
Eric Bana,Hoot
Florence Pugh,Dani
Jack Reynor,Christian
Vilhelm Blomgren,Pelle
William Jackson Harper,Josh
Vin Diesel,Dominic Toretto
Paul Walker,Brian O'Conner
Michelle Rodriguez,Letty
Jordana Brewster,Mia Toretto
Lady Gaga,Ally
Bradley Cooper,Jack
Sam Elliott,Bobby
Greg Grunberg,Phil (Jack's Driver
Mike Vogel,Jason Hawkins
Jessica Lucas,Lily
Lizzy Caplan,Marlena
T.J. Miller,Hud
Ralph Fiennes,Chef Slowik
Anya Taylor-Joy,Margot
Nicholas Hoult,Tyler
Hong Chau,Elsa
Emma Stone,Olive
Amanda Bynes,Marianne
Penn Badgley,Woodchuck Todd
Dan Byrd,Brandon
Bruce Willis,John McClane
Justin Long,Matt Farrell
Timothy Olyphant,Thomas Gabriel
Maggie Q,Mai
Ben Affleck,Doug MacRay
Rebecca Hall,Claire Keesey
Jon Hamm,FBI S.A. Adam Frawley
Jeremy Renner,James Coughlin
Arnold Schwarzenegger,Terminator
Nick Stahl,John Connor
Kristanna Loken,T-X
Claire Danes,Kate Brewster
Margot Robbie,Harley Quinn
Idris Elba,Bloodsport
John Cena,Peacemaker
Joel Kinnaman,Colonel Rick Flag
Shameik Moore,Miles Morales
Hailee Steinfeld,Gwen Stacy
Brian Tyree Henry,Jeff Morales
Luna Lauren Velez,Rio Morales
Christian Bale,Trevor Reznik
Jennifer Jason Leigh,Stevie
Aitana Sánchez-Gijón,Marie
John Sharian,Ivan
Vin Diesel,Dominic Toretto
Paul Walker,Brian O'Conner
Dwayne Johnson,Hobbs
Michelle Rodriguez,Letty
Vin Diesel,Dominic Toretto
Paul Walker,Brian O'Conner
Dwayne Johnson,Hobbs
Jason Statham,Deckard Shaw
George Clooney,Danny Ocean
Brad Pitt,Rusty Ryan
Julia Roberts,Tess Ocean
Catherine Zeta-Jones,Isabel Lahiri
Matthew McConaughey,Michael Pearson
Charlie Hunnam,Ray
Michelle Dockery,Rosalind Pearson
Jeremy Strong,Matthew
Ulrich Mühe,Hauptmann Gerd Wiesler
Martina Gedeck,Christa-Maria Sieland
Sebastian Koch,Georg Dreyman
Ulrich Tukur,Oberstleutnant Anton Grubitz
Chris Hemsworth,Thor
Natalie Portman,Jane Foster/The Mighty Thor
Christian Bale,Gorr
Tessa Thompson,King Valkyrie
Tom Cruise,Ethan Hunt
Rebecca Ferguson,Ilsa Faust
Jeremy Renner,William Brandt
Simon Pegg,Benji Dunn
Channing Tatum,Jenko
Jonah Hill,Schmidt
Ice Cube,Captain Dickson
Nick Offerman,Deputy Chief Hardy
Angelina Jolie,Fox
James McAvoy,Wesley
Morgan Freeman,Sloan
Terence Stamp,Pekwarsky
Vin Diesel,Dominic Toretto
Paul Walker,Brian O'Conner
Dwayne Johnson,Hobbs
Jordana Brewster,Mia
Tommy Lee Jones,Kay
Will Smith,Jay
Rip Torn,Zed
Lara Flynn Boyle,Serleena
Shailene Woodley,Hazel
Ansel Elgort,Gus
Nat Wolff,Isaac
Laura Dern,Frannie
James Franco,Aron Ralston
Amber Tamblyn,Megan
Kate Mara,Kristi
Sean Bott,Aron's Friend
Chris Pratt,Peter Quill/Star-Lord
Chukwudi Iwuji,The High Evolutionary
Bradley Cooper,Rocket
Pom Klementieff,Mantis
Angelina Jolie,Maleficent
Elle Fanning,Aurora
Sharlto Copley,Stefan
Lesley Manville,Flittle
Denzel Washington,Detective Keith Frazier
Clive Owen,Dalton Russell
Jodie Foster,Madeleine White
Christopher Plummer,Arthur Case
John Cusack,Jackson Curtis
Thandiwe Newton,Laura Wilson
Chiwetel Ejiofor,Adrian Helmsley
Amanda Peet,Kate Curtis
Toni Collette,Annie
Milly Shapiro,Charlie
Gabriel Byrne,Steve
Alex Wolff,Peter
Nicole Kidman,Grace
Christopher Eccleston,Charles
Fionnula Flanagan,Mrs. Mills
Alakina Mann,Anne
Mila Kunis,Jamie
Justin Timberlake,Dylan
Patricia Clarkson,Lorna
Jenna Elfman,Annie
Domhnall Gleeson,Tim
Rachel McAdams,Mary
Bill Nighy,Dad
Lydia Wilson,Kit Kat
Billy Crystal,Mike
John Goodman,Sullivan
Steve Buscemi,Randy
Helen Mirren,Dean Hardscrabble
Auli'i Cravalho,Moana
Dwayne Johnson,Maui
Rachel House,Gramma Tala
Temuera Morrison,Chief Tui
Sandra Bullock,Malorie
Trevante Rhodes,Tom
John Malkovich,Douglas
Sarah Paulson,Jessica
Gemma Chan,Sersi
Richard Madden,Ikaris
Angelina Jolie,Thena
Salma Hayek,Ajak
Denzel Washington,John W. Creasy
Christopher Walken,Paul Rayburn
Dakota Fanning,Lupita Ramos
Radha Mitchell,Lisa Ramos
Tom Cruise,Ethan Hunt
Michelle Monaghan,Julia
Ving Rhames,Luther
Philip Seymour Hoffman,Owen Davian
Chris Evans,Curtis
Jamie Bell,Edgar
Tilda Swinton,Mason
Ed Harris,Wilford
Jamie Foxx,Joe
Tina Fey,22
Graham Norton,Moonwind
Rachel House,Terry
Mel Gibson,Graham Hess
Joaquin Phoenix,Merrill Hess
Rory Culkin,Morgan Hess
Abigail Breslin,Bo Hess
Chris Pratt,Emmet Brickowski
Will Ferrell,Lord Business/President Business/The Man Upstairs
Elizabeth Banks,Wyldstyle/Lucy
Will Arnett,Batman/Bruce Wayne
Will Smith,Agent J
Tommy Lee Jones,Agent K
Josh Brolin,Young Agent K
Jemaine Clement,Boris The Animal
Mark Wahlberg,Micky Ward
Christian Bale,Dicky Eklund
Amy Adams,Charlene Fleming
Melissa Leo,Alice Ward
Donald Sutherland,John Bridger
Mark Wahlberg,Charlie Croker
Edward Norton,Steve
Charlize Theron,Stella Bridger
Jake Gyllenhaal,Jack Twist
Heath Ledger,Ennis Del Mar
Michelle Williams,Alma
Randy Quaid,Joe Aguirre
Zachary Levi,Shazam
Mark Strong,Dr. Sivana
Asher Angel,Billy Batson
Jack Dylan Grazer,Freddy Freeman
Edward Norton,Eisenheim
Jessica Biel,Sophie
Paul Giamatti,Inspector Uhl
Rufus Sewell,Crown Prince Leopold
Johnny Depp,Sweeney Todd
Helena Bonham Carter,Mrs. Lovett
Alan Rickman,Judge Turpin
Timothy Spall,Beadle
Naomi Watts,Betty Elms/Diane Selwyn
Laura Harring,Rita/Camilla Rhodes
Justin Theroux,Adam
Jeanne Bates,Irene
Adam Sandler,Henry Roth
Drew Barrymore,Lucy Whitmore
Rob Schneider,Ula
Sean Astin,Doug Whitmore
Leonardo DiCaprio,Howard Hughes
Cate Blanchett,Katharine Hepburn
Kate Beckinsale,Ava Gardner
John C. Reilly,Noah Dietrich
Jim Carrey,Carl
Zooey Deschanel,Allison
Bradley Cooper,Peter
John Michael Higgins,Nick
Seth Rogen,Ben Stone
Katherine Heigl,Alison Scott
Paul Rudd,Pete
Leslie Mann,Debbie
Alden Ehrenreich,Han Solo
Woody Harrelson,Beckett
Emilia Clarke,Qi'ra
Donald Glover,Lando Calrissian
Tom Cruise,Ethan Hunt
Henry Cavill,August Walker
Ving Rhames,Luther Stickell
Simon Pegg,Benji Dunn
Ben Stiller,Larry Daley
Carla Gugino,Rebecca
Ricky Gervais,Dr. McPhee
Dick Van Dyke,Cecil
Will Ferrell,Ron Burgundy
Christina Applegate,Veronica Corningstone
Steve Carell,Brick Tamland
Paul Rudd,Brian Fantana
Russell Crowe,Jackson Healy
Ryan Gosling,Holland March
Angourie Rice,Holly March
Matt Bomer,John Boy
Jennifer Lawrence,Katniss Everdeen
Josh Hutcherson,Peeta Mellark
Liam Hemsworth,Gale Hawthorne
Woody Harrelson,Haymitch Abernathy
Keanu Reeves,John Constantine
Rachel Weisz,Angela Dodson/Isabel Dodson
Djimon Hounsou,Midnite
Shia LaBeouf,Chas
Naomi Watts,Rachel
Martin Henderson,Noah
Brian Cox,Richard Morgan
David Dorfman,Aidan
Bruno Ganz,Adolf Hitler
Alexandra Maria Lara,Traudl Junge
Ulrich Matthes,Joseph Goebbels
Juliane Köhler,Eva Braun
Denzel Washington,Whip Whitaker
Nadine Velazquez,Katerina Marquez
Don Cheadle,Hugh Lang
John Goodman,Harling Mays
Christian Bale,John Connor
Sam Worthington,Marcus Wright
Anton Yelchin,Kyle Reese
Moon Bloodgood,Blair Williams
Sam Rockwell,Sam Bell
Kevin Spacey,GERTY
Dominique McElligott,Tess Bell
Rosie Shaw,Little Eve
Owen Wilson,John Beckwith
Vince Vaughn,Jeremy Grey
Rachel McAdams,Claire Cleary
Christopher Walken,Secretary Cleary
Don Cheadle,Paul Rusesabagina
Sophie Okonedo,Tatiana Rusesabagina
Joaquin Phoenix,Jack Daglish
Xolani Mali,Policeman
Tom Hanks,Dr. Henry Goose/Hotel Manager/Isaac Sachs/Dermot Hoggins/Cavendish Look-a-Like Actor/Zachry
Halle Berry,Native Woman/Jocasta Ayrs/Luisa Rey/Indian Party Guest/Ovid/Meronym
Hugh Grant,Rev. Giles Horrox/Hotel Heavy/Lloyd Hooks/Denholme Cavendish/Seer Rhee/Kona Chief
Hugo Weaving,Haskell Moore/Tadeusz Kesselring/Bill Smoke/Nurse Noakes/Boardman Mephi/Old Georgie
Mads Mikkelsen,Lucas
Thomas Bo Larsen,Theo
Annika Wedderkopp,Klara
Lasse Fogelstrøm,Marcus
Taron Egerton,Eggsy
Colin Firth,Harry Hart
Mark Strong,Merlin
Channing Tatum,Tequila
Jay Baruchel,Hiccup
Cate Blanchett,Valka
Gerard Butler,Stoick
Craig Ferguson,Gobber
Tom Cruise,Reacher
Rosamund Pike,Helen
Richard Jenkins,Rodin
Werner Herzog,The Zec
George Clooney,Danny Ocean
Brad Pitt,Rusty Ryan
Matt Damon,Linus Caldwell/'Lenny Pepperidge'
Michael Mantell,Dr. Stan
Sandra Bullock,Margaret Tate
Ryan Reynolds,Andrew Paxton
Mary Steenburgen,Grace Paxton
Craig T. Nelson,Joe Paxton
Natalie Portman,Lena
Jennifer Jason Leigh,Dr. Ventress
Tessa Thompson,Josie Radek
Benedict Wong,Lomax
Ellar Coltrane,Mason
Patricia Arquette,Olivia
Ethan Hawke,Dad
Elijah Smith,Tommy
Elle Fanning,Alice Dainard
AJ Michalka,Jen Kaznyk
Kyle Chandler,Deputy Jackson Lamb
Joel Courtney,Joe Lamb
Jared Gilman,Sam
Kara Hayward,Suzy
Bruce Willis,Captain Sharp
Bill Murray,Mr. Bishop
Sylvester Stallone,Barney Ross
Jason Statham,Lee Christmas
Jet Li,Yin Yang
Dolph Lundgren,Gunner Jensen
Quinton Aaron,Michael Oher
Sandra Bullock,Leigh Anne Tuohy
Tim McGraw,Sean Tuohy
Jae Head,S.J. Tuohy
Adam Sandler,Michael Newman
Kate Beckinsale,Donna Newman
Christopher Walken,Morty
David Hasselhoff,Ammer
Hugh Jackman,Charlie Kenton
Evangeline Lilly,Bailey Tallet
Dakota Goyo,Max Kenton
Anthony Mackie,Finn
John Goodman,Howard
Mary Elizabeth Winstead,Michelle
John Gallagher Jr.,Emmett
Douglas M. Griffin,Driver
Jeff Bridges,Rooster Cogburn
Matt Damon,LaBoeuf
Hailee Steinfeld,Mattie Ross
Josh Brolin,Tom Chaney
Nicolas Cage,Benjamin Franklin Gates
Diane Kruger,Abigail Chase
Justin Bartha,Riley Poole
Sean Bean,Ian Howe
Mark Wahlberg,Bob Lee Swagger
Michael Peña,Nick Memphis
Rhona Mitra,Alourdes Galindo
Danny Glover,Colonel Isaac Johnson
James Franco,Dave Skylark
Seth Rogen,Aaron Rapaport
Randall Park,President Kim
